Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Cummins,QSB Series,E2062,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSB Series,E2063,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSB Series,E2064,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSB Series,E2065,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSB Series,E2066,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSB Series,E2067,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSB Series,E2068,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSB Series,E2069,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSB Series,E2070,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSB Series,E2071,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSB Series,E2072,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSB Series,E2073,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSB Series,E2074,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSB Series,E2075,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSB Series,E2076,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSB Series,E2077,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSB Series,E2078,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSB Series,E2079,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSB Series,E2080,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSB Series,E2081,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Cummins,QSB Series,E2082,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSB Series,E2083,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSB Series,E2084,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSB Series,E2085,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSB Series,E2086,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSB Series,E2087,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSB Series,E2088,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSB Series,E2089,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSB Series,E2090,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSB Series,E2091,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSB Series,E2092,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSB Series,E2093,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSB Series,E2094,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSB Series,E2095,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSB Series,E2096,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSB Series,E2097,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSB Series,E2098,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSB Series,E2099,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSB Series,E2100,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSC Series,E2101,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSC Series,E2102,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSC Series,E2103,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSC Series,E2104,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSC Series,E2105,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSC Series,E2106,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSC Series,E2107,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSC Series,E2108,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSC Series,E2109,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSC Series,E2110,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSC Series,E2111,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSC Series,E2112,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSC Series,E2113,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSC Series,E2114,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSC Series,E2115,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSC Series,E2116,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSC Series,E2117,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSC Series,E2118,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSC Series,E2119,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSC Series,E2120,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSC Series,E2121,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSC Series,E2122,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSC Series,E2123,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSC Series,E2124,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSC Series,E2125,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSC Series,E2126,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSC Series,E2127,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Cummins,QSC Series,E2128,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSC Series,E2129,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSC Series,E2130,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSC Series,E2131,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSC Series,E2132,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSC Series,E2133,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSC Series,E2134,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSC Series,E2135,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSC Series,E2136,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSC Series,E2137,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSC Series,E2138,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSC Series,E2139,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSC Series,E2140,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSC Series,E2141,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSC Series,E2142,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSC Series,E2143,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSC Series,E2144,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSC Series,E2145,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSC Series,E2146,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSC Series,E2147,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSC Series,E2148,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSC Series,E2149,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSC Series,E2150,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSC Series,E2151,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSC Series,E2152,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSC Series,E2153,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSC Series,E2154,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Cummins,QSC Series,E2155,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSC Series,E2156,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSC Series,E2157,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSC Series,E2158,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSC Series,E2159,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSC Series,E2160,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSC Series,E2161,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSC Series,E2162,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSC Series,E2163,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSC Series,E2164,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSC Series,E2165,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSC Series,E2166,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSC Series,E2167,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSC Series,E2168,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSC Series,E2169,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSC Series,E2170,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSC Series,E2171,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSC Series,E2172,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSC Series,E2173,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSC Series,E2174,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSC Series,E2175,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSC Series,E2176,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSC Series,E2177,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSC Series,E2178,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSC Series,E2179,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSC Series,E2180,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSL Series,E2181,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSL Series,E2182,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSL Series,E2183,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSL Series,E2184,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSL Series,E2185,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
